stop_id,stop_code,stop_name,stop_lat,stop_lon
329,"s513","Šentiljska - Hofer","46.586361","15.666012"
330,"s119","Studenci","46.556847","15.610385"
331,"s118","Studenci","46.556986","15.611228"
332,"s354","Svenškova ulica 40","46.527311","15.706298"
333,"s355","Svenškova ulica 40","46.528356","15.706277"
334,"s138","Šarhova","46.553252","15.617321"
335,"s136","Šarhova - pošta","46.551724","15.621286"
336,"s137","Šarhova - pošta","46.551581","15.621506"
337,"s81","Šentiljska - Medved","46.567076","15.659232"
338,"s82","Šentiljska - Medved","46.567289","15.658896"
339,"s95","Šentiljska - Počehovska","46.576391","15.657536"
340,"s97","Šentiljska - TMI Košaki","46.570616","15.658075"
341,"s93","Šentiljska - veterinar","46.581046","15.662691"
346,"s83","Šubičeva - vrtec","46.568791","15.657067"
347,"s226","Tabor","46.553496","15.644225"
348,"s254","TC E'Leclerc","46.521225","15.651598"
349,"s73","Terme Fontana","46.565580","15.623574"
350,"s74","Terme Fontana","46.564968","15.624263"
351,"s574","Šentiljska - Počehovska","46.577090","15.657794"
352,"s393","Tezenska Dobrava","46.526839","15.687001"
353,"s336","Tezno - dom st. občanov","46.525556","15.678967"
354,"s337","Tezno - dom st. občanov","46.525041","15.678189"
355,"s236","Titova - Nasipna","46.543712","15.649091"
356,"s237","Titova - Nasipna","46.544594","15.648782"
358,"s7","City - zdravstveni dom","46.559151","15.651256"
359,"s8","City - zdravstveni dom","46.558644","15.650901"
360,"s294","Trčova - Griček","46.539405","15.720482"
361,"s594","Trčova - Griček","46.539504","15.720569"
362,"s292","Trčova 31","46.547680","15.714955"
363,"s293","Trčova 31","46.547793","15.714933"
364,"s417","Trgovski center Merkur","46.517790","15.652969"
365,"s258","Tržaška - carinarnica","46.526461","15.648079"
366,"s259","Tržaška - carinarnica","46.526525","15.648251"
367,"s238","Tržaška - Ptujska","46.541329","15.648398"
368,"s416","Tržaška cesta - Bauhaus","46.519346","15.650705"
369,"s418","Tržaška cesta - Bauhaus","46.519863","15.650517"
370,"s260","Tržaška cesta - Lesnina","46.530275","15.646328"
371,"s261","Tržaška cesta - Lesnina","46.530925","15.645941"
372,"s255","Tržaška cesta - Rutar","46.521951","15.648881"
373,"s415","Tržaška cesta - Rutar","46.521465","15.648956"
374,"s414","Tržaška cesta - TUŠ","46.533331","15.646287"
375,"s419","Tržaška cesta - TUŠ","46.533114","15.646451"
376,"s411","Ul. Eve Lovše - Betnava","46.537794","15.638796"
377,"s422","Ul. Eve Lovše - Betnava","46.537525","15.639608"
378,"s412","Ul. Eve Lovše - Energet.","46.535254","15.642749"
379,"s421","Ul. Eve Lovše - Energet.","46.536107","15.641725"
380,"s413","Ul. Eve Lovše - Lidl","46.534288","15.644301"
381,"s420","Ul. Eve Lovše - Lidl","46.534833","15.643674"
382,"s242","Ul. Pariške komune","46.548834","15.641523"
383,"s243","Ul. Pariške komune","46.548726","15.641515"
384,"s374","Ul. V. Vlahovića - S31","46.551231","15.676799"
